# HLPW-5 Force/Moment Grid Convergence DATA SUBMITTAL FORM Case 1, May 05, 2023
 
TITLE = "A-004"
 
#                                                   <------ Optional ----->
VARIABLES = "N" "CL" "CD" "CM" "DT" "TSTART" "TAVG" "CLp" "CLv" "CDp" "CDv"
 
ZONE T="A-004 case1 wing-body verification ALPHA=11 freeair FT"
232029   6.553235e-01 1.067530e-01 1.544939e-01   -999 -999 -999  2.631013e-06 3.634887e-08  7.166250e-05  1.123253e-07
301687   6.770297e-01 1.030540e-01 1.578184e-01   -999 -999 -999  1.684154e-06 4.676365e-09  6.834147e-05  1.324819e-10
308074   6.786389e-01 1.179529e-01 1.450248e-01   -999 -999 -999  -5.866292e-06 2.171749e-07  1.665587e-04  4.365426e-07
323396   6.934822e-01 1.149214e-01 1.470532e-01   -999 -999 -999  -5.168390e-06 4.336157e-07  1.898540e-04  3.741430e-07
318700   7.224430e-01 1.143486e-01 1.480640e-01   -999 -999 -999  -9.327919e-06 4.240727e-04  3.602407e-04  3.799637e-04
316935   7.395884e-01 1.118525e-01 1.487453e-01   -999 -999 -999  -8.816233e-06 5.204862e-07  4.083749e-04  1.792898e-07
320000   7.576415e-01 1.116485e-01 1.499922e-01   -999 -999 -999  -2.494022e-06 2.117729e-06  6.496655e-04  1.259140e-06
322074   7.742561e-01 1.086205e-01 1.540422e-01   -999 -999 -999  1.420847e-06 5.851228e-06  8.166884e-04  9.288722e-06
327159   7.991985e-01 1.031334e-01 1.586964e-01   -999 -999 -999  3.370070e-05 6.734371e-06  1.267960e-03  1.656653e-05
319123   8.216803e-01 1.002063e-01 1.624826e-01   -999 -999 -999  -3.213409e-05 2.121181e-05  1.708210e-03  2.973901e-05
325240   8.530030e-01 9.203592e-02 1.689538e-01   -999 -999 -999  -9.716264e-06 7.745423e-06  2.208406e-03  1.825378e-05
324643   8.681231e-01 9.121552e-02 1.722318e-01   -999 -999 -999  -1.274224e-04 3.509137e-06  2.824426e-03  2.885800e-06
322264   9.095629e-01 7.791265e-02 1.831730e-01   -999 -999 -999  -4.349094e-05 8.430243e-06  3.196497e-03  1.900064e-05
326124   9.173186e-01 7.724020e-02 1.847677e-01   -999 -999 -999  -1.167573e-04 2.434705e-06  3.603124e-03  1.399851e-07
328340   9.352200e-01 7.291710e-02 1.895736e-01   -999 -999 -999  -9.395658e-05 4.886943e-06  3.896002e-03  6.985445e-06
331972   9.497323e-01 7.061105e-02 1.919633e-01   -999 -999 -999  -1.613210e-04 1.089018e-06  4.274119e-03  3.117405e-06
584425   9.503820e-01 6.914726e-02 1.945876e-01   -999 -999 -999  -1.840953e-04 2.078462e-06  5.067201e-03  3.822883e-07
645282   9.640003e-01 6.746210e-02 1.972496e-01   -999 -999 -999  -2.123771e-04 3.263542e-06  5.429372e-03  3.350265e-06
672688   9.665251e-01 6.660825e-02 1.985674e-01   -999 -999 -999  -2.359508e-04 6.845925e-08  5.823223e-03  4.191375e-06
678907   9.956823e-01 6.248871e-02 2.046420e-01   -999 -999 -999  -2.671206e-04 3.612211e-07  6.401126e-03  4.326313e-06
